day,latency_ms,gamma,offset_ticks,beta,kappa,requote_ticks,maker_fills,swept_fills,requotes,maker_notional,taker_notional,gross_pnl,fees,net_pnl,edge_bps,markout_1s_bps,markout_5s_bps,markout_30s_bps,markout_60s_bps,markout_300s_bps,markout_n,max_abs_inv_eth,end_inv_eth,buy_eth,sell_eth,maker_bps,taker_bps
2026-08-09,1.0000,0.000000,0,0.00000000,1.0000,0,999,829,5116,884036.1604,22608.5928,-264.039586,142.779291,-406.818876,-4.48708135,-0.96794974,-0.98412597,-1.10093913,-1.16846403,-1.55457599,982,23.838819,0.000000,236.207100,236.207100,1.5000,4.5000
2026-08-09,1.0000,0.000000,0,0.00000000,1.0000,1,1534,821,3638,1090391.7680,17019.8786,-264.169616,171.217711,-435.387327,-3.93157620,-0.57390603,-0.58953108,-0.78107255,-0.93716665,-1.51787084,1517,25.494120,0.000000,288.548457,288.548457,1.5000,4.5000
2026-08-09,1.0000,0.000000,0,0.00000000,1.0000,3,1445,748,2837,1002825.3052,30178.5362,-133.212854,164.004137,-297.216991,-2.87721090,-0.56022558,-0.59445624,-0.76727801,-0.91078733,-1.44873415,1428,25.456074,0.000000,269.171334,269.171334,1.5000,4.5000
2026-08-09,1.0000,0.000000,0,0.00008052,1.0000,0,1001,830,5169,885959.2604,22608.5928,-267.939586,143.067756,-411.007341,-4.52368351,-0.97021899,-0.98636234,-1.10082848,-1.16768887,-1.55617905,984,23.838819,0.000000,236.707100,236.707100,1.5000,4.5000
2026-08-09,1.0000,0.000000,0,0.00008052,1.0000,1,1555,826,3682,1098094.3896,17044.2401,-258.491512,172.384066,-430.875578,-3.86387456,-0.57064239,-0.58673364,-0.77871466,-0.93302025,-1.53188584,1538,25.490003,0.000000,290.563501,290.563501,1.5000,4.5000
2026-08-09,1.0000,0.000000,0,0.00008052,1.0000,3,1458,752,2854,1008584.8962,30174.1664,-134.134133,164.866109,-299.000242,-2.87843690,-0.56366435,-0.59722466,-0.76632130,-0.91431929,-1.45608039,1441,25.497750,0.000000,270.671334,270.671334,1.5000,4.5000
2026-08-09,1.0000,0.000000,1,0.00000000,1.0000,0,992,822,5101,874709.4267,22620.7708,-263.171344,141.385761,-404.557105,-4.50845303,-0.96819863,-0.98021109,-1.08770552,-1.13912617,-1.56916446,975,23.845196,0.000000,233.780977,233.780977,1.5000,4.5000
2026-08-09,1.0000,0.000000,1,0.00000000,1.0000,1,1524,819,3628,1084688.3213,19127.3970,-255.715961,171.310577,-427.026537,-3.86863976,-0.57942097,-0.60239845,-0.78693667,-0.93264068,-1.51179855,1507,25.494120,0.000000,287.613734,287.613734,1.5000,4.5000
2026-08-09,1.0000,0.000000,1,0.00000000,1.0000,3,1445,746,2823,996235.6678,31258.1016,-130.715669,163.501496,-294.217165,-2.86344476,-0.55619769,-0.58823567,-0.75412313,-0.89322756,-1.46474483,1428,25.497815,0.000000,267.736611,267.736611,1.5000,4.5000
2026-08-09,1.0000,0.000000,1,0.00008052,1.0000,0,992,822,5101,874709.4267,22620.7708,-263.171344,141.385761,-404.557105,-4.50845303,-0.96819863,-0.98021109,-1.08770552,-1.13912617,-1.56916446,975,23.845196,0.000000,233.780977,233.780977,1.5000,4.5000
2026-08-09,1.0000,0.000000,1,0.00008052,1.0000,1,1524,819,3628,1084688.3213,19127.3970,-255.715961,171.310577,-427.026537,-3.86863976,-0.57942097,-0.60239845,-0.78693667,-0.93264068,-1.51179855,1507,25.494120,0.000000,287.613734,287.613734,1.5000,4.5000
2026-08-09,1.0000,0.000000,1,0.00008052,1.0000,3,1445,746,2823,996235.6678,31258.1016,-130.715669,163.501496,-294.217165,-2.86344476,-0.55619769,-0.58823567,-0.75412313,-0.89322756,-1.46474483,1428,25.497815,0.000000,267.736611,267.736611,1.5000,4.5000
2026-08-09,1.0000,5.000000,0,0.00000000,1.0000,0,270,155,4892,211270.1080,164.7910,-38.288419,31.764672,-70.053091,-3.31322270,-0.58893589,-0.66039967,-0.75682904,-0.79726698,-1.07386301,270,2.687340,0.000000,55.090546,55.090546,1.5000,4.5000
2026-08-09,1.0000,5.000000,0,0.00000000,1.0000,1,321,179,3232,251173.3476,129.5709,-44.647795,37.734309,-82.382104,-3.27819924,-0.56271438,-0.68771655,-0.76305475,-0.89506120,-1.13020840,321,2.197925,0.000000,65.482971,65.482971,1.5000,4.5000
2026-08-09,1.0000,5.000000,0,0.00000000,1.0000,3,560,220,1935,359852.3528,101.2650,-58.584583,54.023422,-112.608005,-3.12840321,-0.33144640,-0.37705173,-0.44292372,-0.57610998,-0.51763030,560,3.379422,0.000000,93.807132,93.807132,1.5000,4.5000
2026-08-09,1.0000,5.000000,0,0.00008052,1.0000,0,235,141,4891,188440.0162,214.9184,-33.550959,28.362716,-61.913675,-3.28184763,-0.63347481,-0.70680174,-0.65582894,-0.61137253,-1.17338240,235,2.505976,0.000000,49.160651,49.160651,1.5000,4.5000
2026-08-09,1.0000,5.000000,0,0.00008052,1.0000,1,323,176,3241,257299.1148,143.3511,-45.353429,38.659375,-84.012804,-3.26336233,-0.55115720,-0.65601110,-0.74371879,-0.91032157,-1.17968696,323,2.228866,0.000000,67.080795,67.080795,1.5000,4.5000
2026-08-09,1.0000,5.000000,0,0.00008052,1.0000,3,571,225,1969,371239.4277,573.7535,-51.404176,55.944103,-107.348279,-2.88715636,-0.32276112,-0.37297462,-0.45670519,-0.56820682,-0.97677496,571,3.379422,0.000000,96.891005,96.891005,1.5000,4.5000
2026-08-09,1.0000,5.000000,1,0.00000000,1.0000,0,234,150,4814,189117.8893,478.8367,-41.634069,28.583160,-70.217229,-3.70350432,-0.68839975,-0.80199775,-1.03104589,-1.27535725,-1.75343763,234,2.737275,0.000000,49.405203,49.405203,1.5000,4.5000
2026-08-09,1.0000,5.000000,1,0.00000000,1.0000,1,321,174,3188,244113.6543,136.8443,-49.027519,36.678628,-85.706147,-3.50894461,-0.53676885,-0.61959279,-0.76876926,-0.98744610,-1.47261891,321,2.549596,0.000000,63.644475,63.644475,1.5000,4.5000
2026-08-09,1.0000,5.000000,1,0.00000000,1.0000,3,480,196,1865,306997.4284,200.9894,-62.533536,46.140059,-108.673596,-3.53757016,-0.34000179,-0.40515384,-0.47767843,-0.59493393,-0.74801969,480,3.326412,0.000000,80.043730,80.043730,1.5000,4.5000
2026-08-09,1.0000,5.000000,1,0.00008052,1.0000,0,215,147,4854,178769.3245,412.9587,-33.442048,27.001230,-60.443278,-3.37328430,-0.73586910,-0.87407833,-1.00705388,-1.28259414,-1.67719357,215,2.579853,0.000000,46.691955,46.691955,1.5000,4.5000
2026-08-09,1.0000,5.000000,1,0.00008052,1.0000,1,323,178,3192,246232.2852,138.5727,-51.382218,36.997200,-88.379418,-3.58725130,-0.55758901,-0.67700610,-0.85268406,-1.02475752,-1.43212686,323,2.459830,0.000000,64.197343,64.197343,1.5000,4.5000
2026-08-09,1.0000,5.000000,1,0.00008052,1.0000,3,479,191,1856,307740.0544,124.3268,-64.600126,46.216955,-110.817082,-3.59954215,-0.32054662,-0.40434839,-0.50588748,-0.60770771,-1.07243537,479,2.863861,0.000000,80.212294,80.212294,1.5000,4.5000
2026-08-09,1.0000,20.000000,0,0.00000000,1.0000,0,45,34,5368,36529.5838,102.5509,-3.232940,5.525585,-8.758525,-2.39094051,-1.06060216,-1.30376138,-1.14132569,0.06061450,-0.09915988,45,1.053700,0.000000,9.553700,9.553700,1.5000,4.5000
2026-08-09,1.0000,20.000000,0,0.00000000,1.0000,1,70,41,3174,52649.9128,171.4197,-5.535709,7.974626,-13.510335,-2.55774222,-0.82299399,-0.88253953,-0.82654226,-0.87106123,-1.09371879,70,1.181748,0.000000,13.771505,13.771505,1.5000,4.5000
