
pooled over 4 days
 lat(ms)  gamma  off   rq     beta  kappa     fills  swept%     notional   net_pnl  edge_bps      mo5s    mo300s
    1.00   0.00    0    0  0.00000   1.00      7742   90.8%      7110751  -2348.34   -3.3025   -1.3754   -1.6227
    1.00   0.00    0    1  0.00000   1.00      9996   72.4%      7970545  -2549.12   -3.1982   -1.0854   -1.3756
    1.00   0.00    0    3  0.00000   1.00      9306   69.5%      7250414  -2304.61   -3.1786   -1.0547   -1.4530
    1.00   0.00    0    0  0.00008   1.00      7779   90.6%      7131628  -2328.11   -3.2645   -1.3729   -1.6039
    1.00   0.00    0    1  0.00008   1.00     10025   72.4%      7994495  -2488.37   -3.1126   -1.0879   -1.3795
    1.00   0.00    0    3  0.00008   1.00      9349   69.6%      7280567  -2250.13   -3.0906   -1.0575   -1.4445
    1.00   0.00    1    0  0.00000   1.00      7643   90.9%      7028450  -2350.04   -3.3436   -1.3818   -1.6622
    1.00   0.00    1    1  0.00000   1.00      9924   72.3%      7908249  -2644.80   -3.3444   -1.0885   -1.4376
    1.00   0.00    1    3  0.00000   1.00      9222   69.6%      7191865  -2343.63   -3.2587   -1.0594   -1.5290
    1.00   0.00    1    0  0.00008   1.00      7643   90.9%      7028450  -2350.04   -3.3436   -1.3818   -1.6622
    1.00   0.00    1    1  0.00008   1.00      9924   72.3%      7908249  -2644.80   -3.3444   -1.0885   -1.4376
    1.00   0.00    1    3  0.00008   1.00      9222   69.6%      7191865  -2343.63   -3.2587   -1.0594   -1.5290
    1.00   5.00    0    0  0.00000   1.00       504   66.5%       406789   -110.46   -2.7155   -0.7601   -1.1736
    1.00   5.00    0    1  0.00000   1.00       571   63.0%       455462   -130.80   -2.8719   -0.7409   -0.9887
    1.00   5.00    0    3  0.00000   1.00      1062   49.1%       721695   -213.47   -2.9579   -0.4959   -0.6904
    1.00   5.00    0    0  0.00008   1.00       467   68.3%       382137   -101.99   -2.6690   -0.7874   -1.2386
    1.00   5.00    0    1  0.00008   1.00       588   62.9%       473519   -134.90   -2.8489   -0.7092   -1.1579
    1.00   5.00    0    3  0.00008   1.00      1027   49.2%       702598   -196.06   -2.7905   -0.5184   -0.8780
    1.00   5.00    1    0  0.00000   1.00       439   74.0%       374426   -126.66   -3.3828   -0.8449   -1.5895
    1.00   5.00    1    1  0.00000   1.00       580   65.0%       470047   -137.37   -2.9224   -0.7259   -1.3066
    1.00   5.00    1    3  0.00000   1.00       959   49.0%       644843   -198.57   -3.0794   -0.4680   -0.9874
    1.00   5.00    1    0  0.00008   1.00       415   77.3%       362126   -116.06   -3.2050   -0.8901   -1.5312
    1.00   5.00    1    1  0.00008   1.00       592   66.4%       483170   -138.57   -2.8680   -0.7409   -1.4192
    1.00   5.00    1    3  0.00008   1.00       964   48.8%       652608   -203.70   -3.1213   -0.4766   -1.2444
    1.00  20.00    0    0  0.00000   1.00        55   74.5%        44126     -8.88   -2.0130   -1.3289    0.0833
    1.00  20.00    0    1  0.00000   1.00        82   59.8%        62195    -14.52   -2.3340   -0.9163   -0.8947
    1.00  20.00    0    3  0.00000   1.00       160   43.1%        98582    -26.78   -2.7170   -0.6252   -0.9998
    1.00  20.00    0    0  0.00008   1.00        56   71.4%        44127     -9.58   -2.1716   -1.2540    0.0680
    1.00  20.00    0    1  0.00008   1.00        78   64.1%        62835    -12.84   -2.0440   -0.9700   -0.8406
    1.00  20.00    0    3  0.00008   1.00       170   42.4%       103756    -25.99   -2.5049   -0.5776    0.2691
    1.00  20.00    1    0  0.00000   1.00        51   82.4%        44125     -9.03   -2.0470   -1.4021   -0.3786
    1.00  20.00    1    1  0.00000   1.00        80   57.5%        60723    -14.42   -2.3743   -0.9196   -0.9300
    1.00  20.00    1    3  0.00000   1.00       140   38.6%        88570    -17.93   -2.0242   -0.6158   -0.6454
    1.00  20.00    1    0  0.00008   1.00        51   82.4%        44126     -9.58   -2.1716   -1.3919   -0.4092
    1.00  20.00    1    1  0.00008   1.00        80   56.2%        60723    -14.62   -2.4073   -0.9066   -0.9561
    1.00  20.00    1    3  0.00008   1.00       135   40.0%        88405    -17.16   -1.9414   -0.6329   -0.6750
