day,latency_ms,gamma,offset_ticks,beta,kappa,requote_ticks,maker_fills,swept_fills,requotes,maker_notional,taker_notional,gross_pnl,fees,net_pnl,edge_bps,markout_1s_bps,markout_5s_bps,markout_30s_bps,markout_60s_bps,markout_300s_bps,markout_n,max_abs_inv_eth,end_inv_eth,buy_eth,sell_eth,maker_bps,taker_bps
2026-08-20,0.1000,0.000000,0,0.00008052,1.0000,3,4026,3797,20221,4475232.2767,57635.5461,-2191.333233,697.220837,-2888.554070,-6.37246481,-2.03286943,-2.01718271,-2.31911688,-2.27457682,-2.63719720,4012,25.456074,0.000000,989.920049,989.920049,1.5000,4.5000
2026-08-20,0.1000,5.000000,0,0.00008052,1.0000,3,2,2,14381,2235.6000,0.0000,-1.200000,0.335340,-1.535340,-6.86768653,-1.56317468,-1.56317468,10.74173881,15.22297563,-5.79950893,2,0.500000,0.000000,0.500000,0.500000,1.5000,4.5000
2026-08-20,1.0000,0.000000,0,0.00008052,1.0000,3,4026,3797,20221,4475232.2767,57635.5461,-2191.333233,697.220837,-2888.554070,-6.37246481,-2.03286943,-2.01718271,-2.31911688,-2.27457682,-2.63719720,4012,25.456074,0.000000,989.920049,989.920049,1.5000,4.5000
2026-08-20,1.0000,5.000000,0,0.00008052,1.0000,3,2,2,14381,2235.6000,0.0000,-1.200000,0.335340,-1.535340,-6.86768653,-1.56317468,-1.56317468,10.74173881,15.22297563,-5.79950893,2,0.500000,0.000000,0.500000,0.500000,1.5000,4.5000
2026-08-20,10.0000,0.000000,0,0.00008052,1.0000,3,4026,3797,20221,4475232.2767,57635.5461,-2191.333233,697.220837,-2888.554070,-6.37246481,-2.03286943,-2.01718271,-2.31911688,-2.27457682,-2.63719720,4012,25.456074,0.000000,989.920049,989.920049,1.5000,4.5000
2026-08-20,10.0000,5.000000,0,0.00008052,1.0000,3,2,2,14381,2235.6000,0.0000,-1.200000,0.335340,-1.535340,-6.86768653,-1.56317468,-1.56317468,10.74173881,15.22297563,-5.79950893,2,0.500000,0.000000,0.500000,0.500000,1.5000,4.5000
2026-08-20,33.0000,0.000000,0,0.00008052,1.0000,3,4026,3797,20221,4475232.2767,57635.5461,-2191.333233,697.220837,-2888.554070,-6.37246481,-2.03286943,-2.01718271,-2.31911688,-2.27457682,-2.63719720,4012,25.456074,0.000000,989.920049,989.920049,1.5000,4.5000
2026-08-20,33.0000,5.000000,0,0.00008052,1.0000,3,2,2,14381,2235.6000,0.0000,-1.200000,0.335340,-1.535340,-6.86768653,-1.56317468,-1.56317468,10.74173881,15.22297563,-5.79950893,2,0.500000,0.000000,0.500000,0.500000,1.5000,4.5000
2026-08-20,66.0000,0.000000,0,0.00008052,1.0000,3,3967,3739,20123,4408499.9267,57635.5461,-2095.383233,687.210985,-2782.594217,-6.23042949,-2.02438374,-2.00643473,-2.31196642,-2.27592611,-2.52637975,3953,25.457008,0.000000,975.420049,975.420049,1.5000,4.5000
2026-08-20,66.0000,5.000000,0,0.00008052,1.0000,3,2,2,14381,2235.6000,0.0000,-1.200000,0.335340,-1.535340,-6.86768653,-1.56317468,-1.56317468,10.74173881,15.22297563,-5.79950893,2,0.500000,0.000000,0.500000,0.500000,1.5000,4.5000
2026-08-20,100.0000,0.000000,0,0.00008052,1.0000,3,3882,3658,19997,4313960.5547,56505.7094,-2046.618473,672.521652,-2719.140125,-6.22162479,-2.01407910,-1.99650120,-2.27311156,-2.23345225,-2.46197787,3867,25.456074,0.000000,954.434849,954.434849,1.5000,4.5000
2026-08-20,100.0000,5.000000,0,0.00008052,1.0000,3,2,2,14381,2235.6000,0.0000,-1.200000,0.335340,-1.535340,-6.86768653,-1.56317468,-1.56317468,10.74173881,15.22297563,-5.79950893,2,0.500000,0.000000,0.500000,0.500000,1.5000,4.5000
2026-08-20,200.0000,0.000000,0,0.00008052,1.0000,3,3764,3541,19781,4180041.6666,57657.2021,-2152.423023,652.951991,-2805.375014,-6.62004333,-1.99584617,-1.99736914,-2.28874119,-2.31340045,-2.53786446,3750,25.450574,0.000000,925.434849,925.434849,1.5000,4.5000
2026-08-20,200.0000,5.000000,0,0.00008052,1.0000,3,2,2,14384,2235.6000,0.0000,-1.200000,0.335340,-1.535340,-6.86768653,-1.56317468,-1.56317468,10.74173881,15.22297563,-5.79950893,2,0.500000,0.000000,0.500000,0.500000,1.5000,4.5000
2026-08-20,500.0000,0.000000,0,0.00008052,1.0000,3,3514,3285,19070,3883092.3577,57935.4698,-2007.785723,608.534815,-2616.320538,-6.63867563,-1.96110520,-1.97160877,-2.22609193,-2.14985735,-2.27723736,3500,25.413354,0.000000,860.593949,860.593949,1.5000,4.5000
2026-08-20,500.0000,5.000000,0,0.00008052,1.0000,3,2,2,14399,2235.6000,0.0000,-1.200000,0.335340,-1.535340,-6.86768653,-1.56317468,-1.56317468,10.74173881,15.22297563,-5.79950893,2,0.500000,0.000000,0.500000,0.500000,1.5000,4.5000
2026-08-20,1000.0000,0.000000,0,0.00008052,1.0000,3,3085,2872,18384,3399403.8555,58847.3495,-2095.663273,536.391886,-2632.055158,-7.61094265,-1.90173812,-1.91724568,-2.11104840,-2.13915133,-2.16545249,3072,25.481517,0.000000,755.187649,755.187649,1.5000,4.5000
2026-08-20,1000.0000,5.000000,0,0.00008052,1.0000,3,2,2,14402,2235.6000,0.0000,-1.200000,0.335340,-1.535340,-6.86768653,-1.56317468,-1.56317468,10.74173881,15.22297563,-5.79950893,2,0.500000,0.000000,0.500000,0.500000,1.5000,4.5000
2026-08-20,2000.0000,0.000000,0,0.00008052,1.0000,3,2812,2611,18335,3091677.9048,58278.7954,-1832.515334,489.977144,-2322.492478,-7.37309334,-1.88557549,-1.88490348,-2.02532789,-2.08824914,-2.40789448,2800,25.861396,0.000000,687.863049,687.863049,1.5000,4.5000
